Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Xaml_BuildSelection_Title,Window title for build selection dialog,ビルド選択,Build Selection,构建选择,建置選擇,빌드 선택,Selección de build,اختيار البناء,Pilih build,
Xaml_BuildSelection_BuildNumber,Build number label in build selection dialog,ビルド番号,Build Number,构建编号,建置編號,빌드 번호,Número de build,رقم البناء,Nomor build,
Xaml_Common_Cancel,Common cancel button label,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batal,
Xaml_Common_Apply,Common apply button label,適用,Apply,应用,套用,적용,Aplicar,تطبيق,Terapkan,
Xaml_Common_Refresh,Common refresh button label,更新,Refresh,刷新,重新整理,새로 고침,Actualizar,تحديث,Segarkan,
Xaml_Common_Save,Common save button label,保存,Save,保存,儲存,저장,Guardar,حفظ,Simpan,
Xaml_Common_Add,Common add button label,追加,Add,添加,新增,추가,Añadir,إضافة,Tambah,
Xaml_AuditLog_Title,Window title for audit log,監査ログ / 変更履歴,Audit Log / Change History,审计日志 / 变更历史,稽核記錄 / 變更歷程,감사 로그 / 변경 이력,Registro de auditoría / Historial de cambios,سجل التدقيق / سجل التغييرات,Log audit / Riwayat perubahan,
Xaml_AuditLog_DisplayCount,Display count label in audit log,表示件数,Displayed Count,显示条数,顯示筆數,표시 건수,Cantidad mostrada,عدد العناصر المعروضة,Jumlah ditampilkan,
Xaml_AuditLog_HeaderTimestampUtc,Audit log column header for UTC timestamp,日時(UTC),Timestamp (UTC),时间(UTC),時間(UTC),시간(UTC),Fecha y hora (UTC),الوقت (UTC),Waktu (UTC),
Xaml_AuditLog_HeaderCategory,Audit log column header for category,カテゴリ,Category,类别,類別,카테고리,Categoría,الفئة,Kategori,
Xaml_AuditLog_HeaderAction,Audit log column header for action,操作,Action,操作,操作,작업,Acción,الإجراء,Tindakan,
Xaml_AuditLog_HeaderEntityId,Audit log column header for entity id,対象ID,Target ID,目标ID,目標ID,대상 ID,ID objetivo,معرّف الهدف,ID target,
Xaml_AuditLog_HeaderProperty,Audit log column header for property,項目,Property,字段,欄位,항목,Campo,الحقل,Properti,
Xaml_AuditLog_HeaderBefore,Audit log column header for before value,変更前/内容,Before / Content,变更前/内容,變更前/內容,변경 전/내용,Antes / Contenido,قبل / المحتوى,Sebelum / Konten,
Xaml_AuditLog_HeaderAfter,Audit log column header for after value,変更後,After,变更后,变更後,변경 후,Después,بعد,Sesudah,
Xaml_AuditLog_HeaderActor,Audit log column header for actor,実行者,Actor,执行者,執行者,실행자,Ejecutor,المنفذ,Pelaku,
Xaml_StructuredLog_Title,Window title for structured log,構造化ログ,Structured Log,结构化日志,結構化日誌,구조화 로그,Registro estructurado,السجل المنظّم,Log terstruktur,
Xaml_StructuredLog_MaxItems,Maximum items label in structured log,最大件数,Max Items,最大条数,最大筆數,최대 항목 수,Máximo de elementos,الحد الأقصى للعناصر,Jumlah maksimum,
Xaml_StructuredLog_Reload,Reload button label in structured log,再読込,Reload,重新加载,重新載入,다시 불러오기,Recargar,إعادة تحميل,Muat ulang,
Xaml_StructuredLog_ClearLogs,Clear logs button label,ログ削除,Clear Logs,清除日志,清除日誌,로그 삭제,Borrar registros,حذف السجلات,Hapus log,
Xaml_StructuredLog_Folder,Open folder button label,フォルダ,Folder,文件夹,資料夾,폴더,Carpeta,مجلد,Folder,
Xaml_StructuredLog_Level,Level filter label in structured log,レベル,Level,级别,層級,레벨,Nivel,المستوى,Level,
Xaml_StructuredLog_Category,Category filter label in structured log,カテゴリ,Category,类别,類別,카테고리,Categoría,الفئة,Kategori,
Xaml_StructuredLog_Operation,Operation filter label in structured log,操作,Operation,操作,操作,작업,Operación,العملية,Operasi,
Xaml_StructuredLog_ServerId,Server id filter label in structured log,サーバーID,Server ID,服务器ID,伺服器ID,서버 ID,ID del servidor,معرّف الخادم,ID server,
Xaml_StructuredLog_Search,Search filter label in structured log,検索,Search,搜索,搜尋,검색,Buscar,بحث,Cari,
Xaml_StructuredLog_ResetFilter,Reset filter button label,フィルタ解除,Reset Filters,重置筛选,清除篩選,필터 초기화,Restablecer filtros,إعادة تعيين عوامل التصفية,Atur ulang filter,
Xaml_StructuredLog_HeaderTimestampUtc,Structured log column header for UTC timestamp,時刻(UTC),Time (UTC),时间(UTC),時間(UTC),시간(UTC),Hora (UTC),الوقت (UTC),Waktu (UTC),
Xaml_StructuredLog_HeaderLevel,Structured log column header for level,レベル,Level,级别,層級,레벨,Nivel,المستوى,Level,
Xaml_StructuredLog_HeaderCategory,Structured log column header for category,カテゴリ,Category,类别,類別,카테고리,Categoría,الفئة,Kategori,
Xaml_StructuredLog_HeaderOperation,Structured log column header for operation,操作,Operation,操作,操作,작업,Operación,العملية,Operasi,
Xaml_StructuredLog_HeaderServerId,Structured log column header for server id,サーバーID,Server ID,服务器ID,伺服器ID,서버 ID,ID del servidor,معرّف الخادم,ID server,
Xaml_StructuredLog_HeaderProcess,Structured log column header for process,プロセス,Process,进程,程序,프로세스,Proceso,العملية,Proses,
Xaml_StructuredLog_HeaderMessage,Structured log column header for message,メッセージ,Message,消息,訊息,메시지,Mensaje,الرسالة,Pesan,
Xaml_StructuredLog_HeaderException,Structured log column header for exception,例外,Exception,异常,例外,예외,Excepción,الاستثناء,Eksepsi,
Xaml_StructuredLog_HeaderCorrelationId,Structured log column header for correlation id,相関ID,Correlation ID,关联ID,關聯ID,상관 ID,ID de correlación,معرّف الارتباط,ID korelasi,
Xaml_PluginManager_Title,Window title for plugin manager,プラグイン管理,Plugin Manager,插件管理,外掛管理,플러그인 관리,Gestor de plugins,إدارة الإضافات,Manajer plugin,
Xaml_PluginManager_ServerRunningNotice,Notice shown when server is running,サーバー稼働中 — 変更はサーバー再起動後に反映されます,Server is running — changes apply after server restart.,服务器正在运行——更改将在服务器重启后生效。,伺服器執行中——變更會在伺服器重新啟動後生效。,서버 실행 중 — 변경 사항은 서버 재시작 후 적용됩니다.,Servidor en ejecución — los cambios se aplican tras reiniciar.,الخادم قيد التشغيل — سيتم تطبيق التغييرات بعد إعادة التشغيل.,Server sedang berjalan — perubahan berlaku setelah restart.,
Xaml_PluginManager_Install,Install button label in plugin manager,インストール,Install,安装,安裝,설치,Instalar,تثبيت,Pasang,
Xaml_PluginManager_OpenFolder,Open folder button label in plugin manager,フォルダを開く,Open Folder,打开文件夹,開啟資料夾,폴더 열기,Abrir carpeta,فتح المجلد,Buka folder,
Xaml_PluginManager_NoPlugins,Empty state title for plugin list,プラグインがありません,No plugins found,没有插件,沒有外掛程式,플러그인이 없습니다,No hay plugins,لا توجد إضافات,Tidak ada plugin,
Xaml_PluginManager_DropOrInstallHint,Hint for drag and drop or install button,JARファイルをここにドラッグ & ドロップするかインストールボタンを押してください,Drag and drop JAR files here or use the Install button.,将 JAR 文件拖放到此处或使用安装按钮。,將 JAR 檔拖放到此處或使用安裝按鈕。,JAR 파일을 여기에 끌어다 놓거나 설치 버튼을 누르세요.,Arrastra JAR aquí o usa el botón Instalar.,اسحب ملفات JAR هنا أو استخدم زر التثبيت.,Seret file JAR ke sini atau gunakan tombol Pasang.,
Xaml_PluginManager_DropToInstall,Overlay text for drag and drop install,ここにドロップしてインストール,Drop here to install,拖放到此处安装,拖放到此處安裝,여기에 놓아 설치,Soltar aquí para instalar,أسقط هنا للتثبيت,Jatuhkan di sini untuk pemasang,
Xaml_PluginManager_Uninstall,Uninstall button label in plugin manager,アンインストール,Uninstall,卸载,解除安裝,제거,Desinstalar,إلغاء التثبيت,Copot,
Xaml_OperationsCenter_Title,Window title for operations center,運用ダッシュボード,Operations Dashboard,运维仪表板,營運儀表板,운영 대시보드,Panel de operaciones,لوحة العمليات,Dasbor operasi,
Xaml_OperationsCenter_HeaderJobName,Operations center column header for job name,ジョブ名,Job Name,作业名,工作名稱,작업 이름,Nombre del trabajo,اسم المهمة,Nama pekerjaan,
Xaml_OperationsCenter_HeaderServerId,Operations center column header for server id,サーバーID,Server ID,服务器ID,伺服器ID,서버 ID,ID del servidor,معرّف الخادم,ID server,
Xaml_OperationsCenter_HeaderStatus,Operations center column header for status,状態,Status,状态,狀態,상태,Estado,الحالة,Status,
Xaml_OperationsCenter_HeaderAttempt,Operations center column header for attempt count,試行回数,Attempts,尝试次数,嘗試次數,시도 횟수,Intentos,عدد المحاولات,Jumlah percobaan,
Xaml_OperationsCenter_HeaderMaxAttempt,Operations center column header for max attempts,最大試行,Max Attempts,最大尝试,最大嘗試,최대 시도,Intentos máximos,الحد الأقصى للمحاولات,Maksimum percobaan,
Xaml_OperationsCenter_HeaderDurationMs,Operations center column header for duration in ms,実行時間(ms),Duration (ms),耗时(ms),執行時間(ms),실행 시간(ms),Duración (ms),المدة (مللي ثانية),Durasi (ms),
Xaml_OperationsCenter_HeaderCompletedUtc,Operations center column header for completion time,完了時刻,Completed At,完成时间,完成時間,완료 시각,Hora de finalización,وقت الإكمال,Waktu selesai,
Xaml_OperationsCenter_HeaderError,Operations center column header for error,エラー,Error,错误,錯誤,오류,Error,خطأ,Error,
Xaml_ServerFileEditor_Title,Window title for server file editor,ファイル編集,File Editor,文件编辑,檔案編輯,파일 편집,Editor de archivos,محرر الملفات,Editor file,
Xaml_ServerFileEditor_ConfigFiles,Section header for config files,設定ファイル,Config Files,配置文件,設定檔,설정 파일,Archivos de configuración,ملفات الإعداد,File konfigurasi,
Xaml_ServerFileEditor_AddSource,Button label for adding world source,ソース追加,Add Source,添加来源,新增來源,소스 추가,Agregar origen,إضافة مصدر,Tambah sumber,
Xaml_ServerFileEditor_ApplyWorld,Button label for applying world mapping,ワールド適用,Apply World,应用世界,套用世界,월드 적용,Aplicar mundo,تطبيق العالم,Terapkan world,
JobOrchestrator_LogJobSuccessFormat,Structured log text for successful job,ジョブ成功: {0} attempt={1},Job success: {0} attempt={1},作业成功: {0} attempt={1},作業成功：{0} attempt={1},작업 성공: {0} attempt={1},Trabajo exitoso: {0} attempt={1},نجاح المهمة: {0} attempt={1},Pekerjaan berhasil: {0} attempt={1},
JobOrchestrator_LogJobFailedFormat,Structured log text for failed job,ジョブ失敗: {0} attempt={1} error={2},Job failed: {0} attempt={1} error={2},作业失败: {0} attempt={1} error={2},作業失敗：{0} attempt={1} error={2},작업 실패: {0} attempt={1} error={2},Trabajo fallido: {0} attempt={1} error={2},فشل المهمة: {0} attempt={1} error={2},Pekerjaan gagal: {0} attempt={1} error={2},
ServerFileEditor_WorldSlotOverworld,World slot display name for overworld,オーバーワールド,Overworld,主世界,主世界,오버월드,Overworld,العالم العلوي,Overworld,
ServerFileEditor_WorldSlotNether,World slot display name for nether,ネザー,Nether,下界,地獄,네더,Nether,الجحيم السفلي,Nether,
ServerFileEditor_WorldSlotEnd,World slot display name for end,エンド,End,末地,終界,엔드,End,النهاية,End,
ServerFileEditor_JsonLoadFailed,Status when JSON loading fails,JSONの読み込みに失敗しました。,Failed to load JSON.,JSON 加载失败。,JSON 載入失敗。,JSON 로드에 실패했습니다.,No se pudo cargar JSON.,فشل تحميل JSON.,Gagal memuat JSON.,
ServerFileEditor_InvalidUserName,Status when username is invalid,ユーザー名が無効です。,Invalid user name.,用户名无效。,使用者名稱無效。,사용자 이름이 올바르지 않습니다.,Nombre de usuario no válido.,اسم المستخدم غير صالح.,Nama pengguna tidak valid.,
ServerFileEditor_DuplicateUserName,Status when username already exists,同名ユーザーは既に存在します。,A user with the same name already exists.,同名用户已存在。,同名使用者已存在。,같은 이름의 사용자가 이미 존재합니다.,Ya existe un usuario con el mismo nombre.,يوجد مستخدم بنفس الاسم بالفعل.,Pengguna dengan nama yang sama sudah ada.,
ServerFileEditor_ResolvingUuid,Status while resolving UUID,UUIDを取得中...,Resolving UUID...,正在获取 UUID...,正在取得 UUID...,UUID를 조회 중...,Resolviendo UUID...,جارٍ جلب UUID...,Sedang mengambil UUID...,
ServerFileEditor_ResolveUuidFailed,Status when UUID resolve fails,UUIDの取得に失敗しました。,Failed to resolve UUID.,获取 UUID 失败。,取得 UUID 失敗。,UUID 조회에 실패했습니다.,No se pudo resolver el UUID.,فشل جلب UUID.,Gagal mengambil UUID.,
ServerFileEditor_Added,Status when item is added,追加しました。,Added.,已添加。,已新增。,추가했습니다.,Añadido.,تمت الإضافة.,Berhasil ditambahkan.,
ServerFileEditor_Removed,Status when item is removed,削除しました。,Removed.,已删除。,已刪除。,삭제했습니다.,Eliminado.,تمت الإزالة.,Berhasil dihapus.,
ServerFileEditor_InvalidIpAddress,Status when IP address is invalid,IPアドレスが無効です。,Invalid IP address.,IP 地址无效。,IP 位址無效。,IP 주소가 올바르지 않습니다.,Dirección IP no válida.,عنوان IP غير صالح.,Alamat IP tidak valid.,
ServerFileEditor_DuplicateIpAddress,Status when same IP already exists,同じIPは既に存在します。,The same IP already exists.,相同 IP 已存在。,相同 IP 已存在。,같은 IP가 이미 존재합니다.,La misma IP ya existe.,نفس عنوان IP موجود بالفعل.,IP yang sama sudah ada.,
ServerFileEditor_InvalidFolderPath,Status when folder path is invalid,有効なフォルダーを指定してください。,Specify a valid folder.,请指定有效文件夹。,請指定有效資料夾。,유효한 폴더를 지정하세요.,Especifica una carpeta válida.,حدد مجلدًا صالحًا.,Tentukan folder yang valid.,
ServerFileEditor_AlreadyExistsInList,Status when folder already exists in list,すでに一覧に存在します。,Already exists in the list.,列表中已存在。,清單中已存在。,목록에 이미 존재합니다.,Ya existe en la lista.,موجود بالفعل في القائمة.,Sudah ada di daftar.,
ServerFileEditor_AssignedToSlotFormat,Status when source assigned to world slot,{0} に割り当てました。,Assigned to {0}.,已分配到 {0}。,已指派到 {0}。,{0}에 할당했습니다.,Asignado a {0}.,تم التعيين إلى {0}.,Ditugaskan ke {0}.,
ServerFileEditor_RemovedFromList,Status when source removed from list,一覧から削除しました。,Removed from the list.,已从列表中删除。,已從清單中移除。,목록에서 제거했습니다.,Eliminado de la lista.,تمت الإزالة من القائمة.,Dihapus dari daftar.,
ServerFileEditor_ApplyingWorlds,Status while applying world mappings,ワールドを適用中...,Applying worlds...,正在应用世界...,正在套用世界...,월드를 적용 중...,Aplicando mundos...,جارٍ تطبيق العوالم...,Sedang menerapkan world...,
ServerFileEditor_NoAssignments,Status when no world assignments exist,割り当てがありません。,No assignments found.,没有分配项。,沒有指派項目。,할당이 없습니다.,No hay asignaciones.,لا توجد تعيينات.,Tidak ada penugasan.,
ServerFileEditor_WorldSourceNotFoundFormat,Error when world source is missing,{0} のソースが見つかりません。,Source for {0} was not found.,找不到 {0} 的来源。,找不到 {0} 的來源。,{0}의 소스를 찾을 수 없습니다.,No se encontró la fuente de {0}.,لم يتم العثور على مصدر {0}.,Sumber untuk {0} tidak ditemukan.,
ServerFileEditor_Applied,Status when world mappings applied,適用しました。,Applied.,已应用。,已套用。,적용했습니다.,Aplicado.,تم التطبيق.,Berhasil diterapkan.,
ServerFileEditor_ApplyFailedFormat,Status when applying world mappings fails,適用に失敗しました: {0},Failed to apply: {0},应用失败: {0},套用失敗：{0},적용에 실패했습니다: {0},Error al aplicar: {0},فشل التطبيق: {0},Gagal menerapkan: {0},
PluginManager_StatusPluginCountFormat,Plugin manager status with plugin count,{0} プラグイン,{0} plugins,{0} 个插件,{0} 個外掛程式,{0}개 플러그인,{0} plugins,{0} مكون إضافي,{0} plugin,
PluginManager_SelectJarTitle,File dialog title to select plugin jar,プラグイン JAR を選択,Select plugin JAR,选择插件 JAR,選擇外掛 JAR,플러그인 JAR 선택,Seleccionar JAR del plugin,اختر ملف JAR للإضافة,Pilih JAR plugin,
PluginManager_SelectJarFilter,File dialog filter for plugin jar,JAR ファイル (*.jar)|*.jar,JAR Files (*.jar)|*.jar,JAR 文件 (*.jar)|*.jar,JAR 檔案 (*.jar)|*.jar,JAR 파일 (*.jar)|*.jar,Archivos JAR (*.jar)|*.jar,ملفات JAR (*.jar)|*.jar,File JAR (*.jar)|*.jar,
PluginManager_InstallFailedFormat,Error message when plugin install fails,{0} のインストールに失敗: {1},Failed to install {0}: {1},{0} 安装失败: {1},{0} 安裝失敗：{1},{0} 설치 실패: {1},Error al instalar {0}: {1},فشل تثبيت {0}: {1},Gagal memasang {0}: {1},
Common_ErrorTitle,Common error dialog title,エラー,Error,错误,錯誤,오류,Error,خطأ,Error,
PluginManager_InstallCompletedFormat,Status when plugin installation is completed,{0} 個インストール完了 — 合計 {1} プラグイン,{0} installed — total {1} plugins,已安装 {0} 个——共 {1} 个插件,已安裝 {0} 個——共 {1} 個外掛程式,{0}개 설치 완료 — 총 {1}개 플러그인,{0} instalados — total {1} plugins,تم تثبيت {0} — الإجمالي {1} مكون إضافي,{0} terpasang — total {1} plugin,
PluginManager_UninstallConfirmFormat,Confirmation message for plugin uninstall,「{0}」を削除しますか？,Delete {0}?,要删除 {0} 吗？,要刪除 {0} 嗎？,{0}를 삭제할까요?,¿Eliminar {0}?,هل تريد حذف {0}؟,Hapus {0}?,
Common_ConfirmTitle,Common confirmation dialog title,確認,Confirm,确认,確認,확인,Confirmar,تأكيد,Konfirmasi,
PluginManager_UninstallFailedFormat,Error message when plugin uninstall fails,削除に失敗: {0},Failed to delete: {0},删除失败: {0},刪除失敗：{0},삭제 실패: {0},Error al eliminar: {0},فشل الحذف: {0},Gagal menghapus: {0},
EulaGuidance_InitialAgreementRequired,EULA guidance for first startup,初回起動で EULA 同意が必要です。設定編集から eula.txt を開き、eula=true に変更して保存してください。,EULA agreement is required on first startup. Open eula.txt from settings and change eula=true then save.,首次启动需要同意 EULA。请从设置中打开 eula.txt 并将 eula=true 后保存。,首次啟動需要同意 EULA。請從設定開啟 eula.txt 並將 eula=true 後儲存。,첫 실행 시 EULA 동의가 필요합니다. 설정에서 eula.txt를 열고 eula=true로 변경 후 저장하세요.,Se requiere aceptar el EULA en el primer inicio. Abre eula.txt desde configuración y cambia eula=true y guarda.,مطلوب الموافقة على EULA عند أول تشغيل. افتح eula.txt من الإعدادات وغيّر eula=true ثم احفظ.,Persetujuan EULA diperlukan saat startup pertama. Buka eula.txt dari pengaturan lalu ubah eula=true dan simpan.,
Authorization_InlineDeniedFormat,Inline authorization denied message,認可により操作できません: {0},Operation is not allowed by authorization: {0},因授权限制无法执行操作: {0},因授權限制無法執行操作：{0},권한 정책으로 작업할 수 없습니다: {0},La autorización no permite esta operación: {0},غير مسموح بهذه العملية حسب التفويض: {0},Operasi tidak diizinkan oleh otorisasi: {0},
Authorization_DialogDenied,Dialog authorization denied message without reason,認可により操作できません。,Operation is not allowed by authorization.,因授权限制无法执行操作。,因授權限制無法執行操作。,권한 정책으로 작업할 수 없습니다.,La autorización no permite esta operación.,غير مسموح بهذه العملية حسب التفويض.,Operasi tidak diizinkan oleh otorisasi.,
Authorization_DialogDeniedWithReasonFormat,Dialog authorization denied message with reason,認可により操作できません。\n理由: {0},Operation is not allowed by authorization.\nReason: {0},因授权限制无法执行操作。\n原因: {0},因授權限制無法執行操作。\n原因：{0},권한 정책으로 작업할 수 없습니다.\n사유: {0},La autorización no permite esta operación.\nMotivo: {0},غير مسموح بهذه العملية حسب التفويض.\nالسبب: {0},Operasi tidak diizinkan oleh otorisasi.\nAlasan: {0},
BoundaryException_WrapMessageFormat,Boundary exception wrap message,{0} で {1} 境界の例外が発生しました: {2},Boundary exception occurred in {0} at {1}: {2},{0} 中发生 {1} 边界异常: {2},{0} 發生 {1} 邊界例外：{2},{0}에서 {1} 경계 예외가 발생했습니다: {2},Excepción de límite en {0} de tipo {1}: {2},حدث استثناء حد في {0} عند {1}: {2},Terjadi exception batas di {0} pada {1}: {2},
ServerProcess_LogSendCommandFormat,Structured log when sending command,コマンド送信: {0},Send command: {0},发送命令: {0},傳送命令：{0},명령 전송: {0},Enviar comando: {0},إرسال أمر: {0},Kirim perintah: {0},
ServerProcess_LogStopBegin,Structured log when stopping process synchronously,サーバープロセス停止を開始します。,Starting server process stop.,开始停止服务器进程。,開始停止伺服器程序。,서버 프로세스 중지를 시작합니다.,Iniciando detención del proceso del servidor.,بدء إيقاف عملية الخادم.,Memulai penghentian proses server.,
ServerProcess_LogStopAsyncBegin,Structured log when stopping process asynchronously,サーバープロセス非同期停止を開始します。,Starting async server process stop.,开始异步停止服务器进程。,開始非同步停止伺服器程序。,서버 프로세스 비동기 중지를 시작합니다.,Iniciando detención asíncrona del proceso del servidor.,بدء الإيقاف غير المتزامن لعملية الخادم.,Memulai penghentian proses server secara asinkron.,
MainPage_ServerNotSelected,No server selected for delete action,対象サーバーが選択されていません。,No server is selected.,未选择服务器。,未選擇伺服器。,선택된 서버가 없습니다.,No hay ningún servidor seleccionado.,لم يتم تحديد أي خادم.,Tidak ada server yang dipilih.,
MainPage_NewServerName,Default name for a newly created server,新規サーバー,New Server,新服务器,新伺服器,새 서버,Nuevo servidor,خادم جديد,Server baru,
MainPage_DeleteAfterStopRequired,Warn to stop server before deletion,サーバー停止後に削除してください。,Stop the server before deleting it.,请先停止服务器再删除。,請先停止伺服器再刪除。,서버를 중지한 후 삭제하세요.,Detén el servidor antes de eliminarlo.,أوقف الخادم قبل حذفه.,Hentikan server sebelum menghapusnya.,
MainPage_DeleteServerConfirmFormat,Confirm deleting server and directory,サーバー '{0}' を削除します。ディレクトリも削除されます。よろしいですか？,Delete server '{0}'? Its directory will also be deleted. Continue?,要删除服务器“{0}”吗？其目录也将被删除。是否继续？,要刪除伺服器「{0}」嗎？其目錄也會一併刪除。是否繼續？,서버 '{0}'를 삭제하시겠습니까? 디렉터리도 함께 삭제됩니다. 계속할까요?,¿Eliminar el servidor '{0}'? También se eliminará su directorio. ¿Continuar?,هل تريد حذف الخادم '{0}'؟ سيتم أيضًا حذف المجلد الخاص به. هل تريد المتابعة؟,Hapus server '{0}'? Direktori juga akan dihapus. Lanjutkan?,
MainPage_DeleteServerDirectoryFailedFormat,Error when server directory deletion fails,サーバーディレクトリの削除に失敗しました: {0},Failed to delete server directory: {0},删除服务器目录失败: {0},刪除伺服器目錄失敗：{0},서버 디렉터리 삭제에 실패했습니다: {0},No se pudo eliminar el directorio del servidor: {0},فشل حذف مجلد الخادم: {0},Gagal menghapus direktori server: {0},
SettingPage_UnnamedServer,Fallback display name for unnamed server,名称未設定,Unnamed,未命名,未命名,이름 없음,Sin nombre,بدون اسم,Tanpa nama,
SettingPage_JavaPathStatusNotConfigured,Java path status when not set,未設定 — 起動時に自動ダウンロードを試みます,Not configured — will try auto-download on startup.,未设置——启动时将尝试自动下载。,未設定——啟動時將嘗試自動下載。,설정되지 않음 — 시작 시 자동 다운로드를 시도합니다.,Sin configurar: se intentará la descarga automática al iniciar.,غير مُكوَّن — ستتم محاولة التنزيل التلقائي عند بدء التشغيل.,Belum dikonfigurasi — akan mencoba unduh otomatis saat mulai.,
